occurrence_no,lng,lat,mid_ma
427951,44.633331,34.483334,10.154
428457,49.483334,25.683332,13.789
430575,-1.2115,50.804001,44.55
430642,-1.2115,50.804001,44.55
431435,19.200001,29.233334,19.5
436405,-1.691667,50.738888,35.55
440348,74.467781,30.208055,48.65
440642,-70.050003,10.366667,18.205
442243,118.695557,32.139442,18.205
442276,118.199997,33.450001,18.205
442318,118.199997,33.450001,18.205
442362,118.199997,33.450001,18.205
456558,11.953611,51.321945,44.55
456573,11.953611,51.321945,44.55
456606,11.953611,51.321945,44.55
456607,11.953611,51.321945,44.55
456608,11.953611,51.321945,44.55
456650,11.953611,51.321945,44.55
456651,11.953611,51.321945,44.55
456652,11.953611,51.321945,44.55
456653,11.953611,51.321945,44.55
456654,11.953611,51.321945,44.55
456655,11.953611,51.321945,44.55
457802,-4.05,41.666668,44.55
457824,-103.9617,45.948799,68.3
457849,-103.300003,46.099998,68.3
457855,-103.753899,45.977699,68.3
457888,-103.766899,46.026402,68.3
457897,-103.766899,46.026402,68.3
457919,-103.766899,46.026402,69.05
457952,-103.766899,46.026402,68.3
457980,-103.939697,46.406399,68.3
457999,-103.766899,46.026402,68.3
458000,-103.766899,46.026402,68.3
458006,-103.766899,46.026402,68.3
458007,-103.766899,46.026402,68.3
458011,-103.766899,46.026402,68.3
458020,-103.753899,45.977699,68.3
458039,-103.766899,46.026402,68.3
458051,-103.766899,46.026402,68.3
458063,-103.766899,46.026402,68.3
458064,-103.766899,46.026402,68.3
458103,-103.964401,46.381901,68.3
458105,-103.964401,46.381901,68.3
458128,-103.9617,45.948799,68.3
458139,-103.9617,45.948799,68.3
458150,-103.939697,46.406399,68.3
458170,-103.300003,46.099998,68.3
458178,-103.964401,46.381901,68.3
458185,-103.836998,46.180302,68.3
458186,-103.795403,46.136902,68.3
458201,-104.0233,46.449799,68.3
458225,-104.0233,46.464298,68.3
458226,-104.0233,46.464298,68.3
458250,-103.897903,46.334,68.3
458251,-103.897903,46.334,68.3
458282,-103.897903,46.334,68.3
458283,-103.897903,46.334,68.3
458369,97.583336,41.575001,110.515
458373,97.616669,41.509445,110.515
459033,-108.890152,44.633621,53.05
459043,-108.632797,44.435921,53.05
459048,-108.67054,44.49791,53.05
459051,-108.698151,44.56329,53.05
459052,-108.698151,44.56329,53.05
459056,-108.620682,44.588711,53.05
459062,-108.633018,44.55476,53.05
459065,-108.597198,44.56535,53.05
459072,-108.587517,44.59549,53.05
459075,-108.585716,44.614712,53.05
459082,-108.681999,44.507149,53.05
459085,-108.67485,44.576141,53.05
459088,-108.674812,44.49791,53.05
459091,-108.656212,44.550999,53.05
459094,-108.651382,44.536591,53.05
459097,-108.704941,44.553982,53.05
459100,-108.708031,44.545849,53.05
459104,-108.429077,44.525589,53.05
459110,-108.668121,44.369122,53.05
459277,-4.05,41.666668,44.55
459284,-5.566111,41.433334,44.55
459288,-5.566111,42.433334,44.55
